index,category,command_kor,command_eng,connected_devices,gt
1,1,식기세척기를 건조 모드로 설정해줘.,Switch the dishwasher to dry mode.,,"{""name"": """", 
""cron"": """", 
""period"": 0, 
""script"": ""(#Dishwasher).dishwasher_setdishwashermode(\""dry\"")""}"
2,1,오븐의 작동 시간을 5분 늘려줘.,Add 5 minutes to the oven.,,"{""name"": """", 
""cron"": """", 
""period"": 0, 
""script"": ""(#Oven).oven_addmoretime(300)""}"
3,1,밥솥을 조리 모드로 30분 작동시켜.,Start the rice cooker on cooking mode for 30 minutes.,,"{""name"": """", 
""cron"": """", 
""period"": 0, 
""script"": ""(#RiceCooker).ricecooker_setcookingparameters(\""cooking\"", 1800)""}"
4,1,사이렌을 응급모드로 울려줘.,Set the siren to emergency mode.,,"{""name"": """", 
""cron"": """", 
""period"": 0, 
""script"": ""(#Siren).siren_setsirenmode(\""emergency\"")""}"
5,1,스피커의 볼륨을 30으로 설정해줘.,Set the speaker volume to 30.,,"{""name"": """", 
""cron"": """", 
""period"": 0, 
""script"": ""(#Speaker).speaker_setvolume(30)""}"
6,1,TV 채널을 하나 내려줘.,Turn the TV channel down by one.,,"{""name"": """", 
""cron"": """", 
""period"": 0, 
""script"": ""(#Television).television_channeldown()""}"
7,1,TV로 7번 채널을 틀어줘.,Switch the TV to channel 7.,,"{""name"": """", 
""cron"": """", 
""period"": 0, 
""script"": ""(#Television).television_setchannel(7)""}"
8,1,현재 온도를 스피커로 알려줘.,Announce the temperature through the speaker.,,"{""name"": """", 
""cron"": """", 
""period"": 0, 
""script"": ""\ntemp = (#TemperatureSensor).temperaturesensor_temperature\n\n(#Speaker).speaker_speak(\""현재 온도는 \"" + temp + \""도입니다\"")""}"
9,1,외부 온도를 스피커로 출력해줘.,Tell me the outdoor temperature through the speaker.,,"{""name"": """", 
""cron"": """", 
""period"": 0, 
""script"": ""\ntemp = (#WeatherProvider).weatherprovider_temperatureweather\n\n(#Speaker).speaker_speak(\""외부 온도는 \"" + temp + \""도입니다\"")""}"
10,1,현재 습도를 스피커로 말해줘.,Tell me the current humidity through the speaker.,,"{""name"": """", 
""cron"": """", 
""period"": 0, 
""script"": ""\nhum = (#HumiditySensor).humiditysensor_humidity\n\n(#Speaker).speaker_speak(\""현재 습도는 \"" + hum + \""%입니다\"")""}"
11,1,외부 습도를 스피커로 말해줘.,Tell me the outdoor humidity through the speaker.,,"{""name"": """", 
""cron"": """", 
""period"": 0, 
""script"": ""\nhum = (#WeatherProvider).weatherprovider_humidityweather\n\n(#Speaker).speaker_speak(\""외부 습도는 \"" + hum + \""%입니다\"")""}"
12,1,오늘의 날씨를 스피커로 출력해줘.,Output today's weather through the speaker.,,"{""name"": """", 
""cron"": """", 
""period"": 0, 
""script"": ""\nweather = (#WeatherProvider).weatherprovider_weather\n\n(#Speaker).speaker_speak(\""오늘 날씨는 \"" + weather + \""입니다\"")""}"
